species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_rothiana,15.3412,74.3733,23.450000000000045,9.200000000000001,0.5559999942779541,129.5,32.650000000000034,16.05000000000001,16.6,22.750000000000057,22.350000000000023,25.450000000000045,22.350000000000023,3775.3,1213.2,1.2000000000000002,128.5,2922.5,12.3,171.20000000000002,12.3
Gymnosporia_rothiana,15.3847,74.3451,23.55000000000001,9.600000000000001,0.5659999847412109,123.2,32.950000000000045,16.05000000000001,16.900000000000002,22.850000000000023,22.55000000000001,25.55000000000001,22.55000000000001,4131.1,1340.8000000000002,1.2000000000000002,130.0,3226.3,12.100000000000001,179.60000000000002,12.100000000000001
Gymnosporia_rothiana,15.4203,74.3283,23.350000000000023,9.700000000000001,0.5639999866485595,127.30000000000001,32.85000000000002,15.650000000000034,17.2,22.650000000000034,22.250000000000057,25.350000000000023,22.250000000000057,4321.1,1403.9,1.2000000000000002,130.20000000000002,3377.3,12.600000000000001,183.5,12.600000000000001
Gymnosporia_rothiana,15.4737,74.333,23.55000000000001,9.8,0.5739999771118164,123.30000000000001,33.05000000000001,16.05000000000001,17.0,22.850000000000023,22.650000000000034,25.55000000000001,22.650000000000034,4149.3,1352.4,1.2000000000000002,129.9,3235.1000000000004,12.4,179.9,2709.7000000000003
Gymnosporia_rothiana,15.4769,74.301,23.250000000000057,9.8,0.5690000057220459,124.7,32.85000000000002,15.550000000000011,17.3,22.55000000000001,22.250000000000057,25.250000000000057,22.250000000000057,4489.7,1468.9,1.2000000000000002,131.0,3525.0,12.600000000000001,184.9,12.600000000000001
Gymnosporia_rothiana,15.4878,74.2835,23.350000000000023,9.9,0.5699999809265137,124.0,32.85000000000002,15.550000000000011,17.3,22.55000000000001,22.250000000000057,25.250000000000057,22.250000000000057,4674.900000000001,1533.9,1.1,131.70000000000002,3687.4,12.5,186.3,12.5
Gymnosporia_rothiana,15.4885,74.3484,23.350000000000023,9.700000000000001,0.5650000095367432,126.7,32.950000000000045,15.850000000000023,17.1,22.650000000000034,22.350000000000023,25.350000000000023,22.350000000000023,3871.9,1258.7,1.2000000000000002,128.9,2998.0,12.4,175.70000000000002,12.4
Gymnosporia_rothiana,15.6843,73.9668,26.650000000000034,8.5,0.6179999828338624,101.10000000000001,33.55000000000001,19.750000000000057,13.8,26.05000000000001,26.150000000000034,28.05000000000001,25.750000000000057,4041.6000000000004,1336.4,0.4,136.5,3285.3,6.5,107.0,2639.4
Gymnosporia_rothiana,15.8944,74.1175,23.250000000000057,9.200000000000001,0.5619999885559083,138.70000000000002,32.650000000000034,16.250000000000057,16.400000000000002,22.350000000000023,23.450000000000045,25.55000000000001,22.05000000000001,4060.4,1359.1000000000001,1.3,130.9,3168.6000000000004,15.100000000000001,162.8,2667.8
Gymnosporia_rothiana,15.9069,74.0366,22.750000000000057,9.200000000000001,0.5449999809265137,152.1,32.35000000000002,15.550000000000011,16.8,21.850000000000023,22.850000000000023,25.250000000000057,21.650000000000034,5073.200000000001,1732.5,1.1,134.8,4054.5,13.600000000000001,175.0,3384.0
